"Data","Fechamento","Abertura","Máxima","Mínima","Vol.","Var"
"Jun 21","679","627,80","697,62","571,22","519,92M","8.71%"
"Jul 21","687","683,92","700,00","620,46","448,49M","1.10%"
"Ago 21","735","700,00","740,39","648,84","381,59M","7.06%"
"Set 21","775","734,08","799,00","708,85","390,06M","5.40%"
"Out 21","1114","778,40","1.115,21","763,59","528,93M","43.65%"
"Nov 21","1144","1.145,00","1.243,49","978,60","648,53M","2.76%"
"Dez 21","1056","1.160,69","1.172,84","886,12","510,21M","-7.69%"
"Jan 22","936","1.147,75","1.208,00","792,01","639,09M","-11.36%"
"Fev 22","870","935,21","947,77","700,00","463,60M","-7.08%"
"Mar 22","1077","869,68","1.114,77","756,04","576,48M","23.80%"
"Abr 22","870","1.081,15","1.152,87","822,06","29,38M","-19.19%"
"Mai 22","757","860,60","954,32","620,57","29,77M","-13.02%"